                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.3121,                0.81748,                0.93915,                0.58175,                0.57827,                0.55093,                0.27247,                      0,                    inf,                      0,               0.009012,               0.009012,               0.009012
                     55,                 1.3255,                0.86196,                  0.955,                0.75906,                0.64736,                0.73556,                0.38349,                      0,                    inf,                      0,               0.008616,               0.008616,               0.008616
                     56,                 1.2961,                0.75018,                 0.9461,                0.74464,                0.66464,                0.72506,                0.38878,                      0,                    inf,                      0,                0.00822,                0.00822,                0.00822
                     57,                 1.2307,                0.76237,                 0.9534,                0.84563,                0.64122,                0.73951,                0.40017,                      0,                    inf,                      0,               0.007824,               0.007824,               0.007824
                     58,                 1.2168,                0.70594,                0.91976,                0.74433,                0.71411,                0.73608,                0.38166,                      0,                    inf,                      0,               0.007428,               0.007428,               0.007428
                     59,                  1.232,                0.71712,                0.93018,                 0.7296,                0.54459,                0.58403,                0.30011,                      0,                    inf,                      0,               0.007032,               0.007032,               0.007032
                     60,                  1.212,                0.69232,                 0.9233,                0.83157,                0.64579,                0.70254,                 0.3852,                      0,                    inf,                      0,               0.006636,               0.006636,               0.006636
                     61,                 1.1678,                0.67672,                0.91765,                0.80346,                0.69301,                0.72729,                0.37879,                      0,                    inf,                      0,                0.00624,                0.00624,                0.00624
                     62,                 1.1851,                0.69243,                0.91419,                0.78328,                0.61696,                0.68819,                0.37565,                      0,                    inf,                      0,               0.005844,               0.005844,               0.005844
                     63,                 1.1778,                0.68724,                0.91913,                0.74405,                0.64658,                0.70193,                 0.3699,                      0,                    inf,                      0,               0.005448,               0.005448,               0.005448
                     64,                 1.1302,                0.64014,                0.89668,                 0.7906,                0.66975,                0.72931,                0.41453,                      0,                    inf,                      0,               0.005052,               0.005052,               0.005052
                     65,                 1.1188,                0.64278,                0.94405,                0.75516,                0.68283,                 0.7323,                0.40453,                      0,                    inf,                      0,               0.004656,               0.004656,               0.004656
                     66,                 1.1062,                0.64932,                0.92958,                0.75063,                0.66361,                 0.7364,                0.41418,                      0,                    inf,                      0,                0.00426,                0.00426,                0.00426
                     67,                  1.047,                0.60491,                0.91272,                0.79191,                0.62507,                0.72587,                 0.4262,                      0,                    inf,                      0,               0.003864,               0.003864,               0.003864
                     68,                 1.0291,                0.62482,                0.90169,                0.75996,                0.72048,                0.75387,                0.43055,                      0,                    inf,                      0,               0.003468,               0.003468,               0.003468
                     69,                 1.0151,                0.54843,                0.91176,                0.76306,                0.67538,                0.72774,                0.40819,                      0,                    inf,                      0,               0.003072,               0.003072,               0.003072
                     70,                 1.0159,                0.56769,                0.90412,                0.75936,                0.59598,                0.73302,                0.42701,                      0,                    inf,                      0,               0.002676,               0.002676,               0.002676
                     71,                0.97008,                 0.5616,                0.90153,                 0.7491,                0.71501,                0.73805,                0.42796,                      0,                    inf,                      0,                0.00228,                0.00228,                0.00228
                     72,                0.96767,                0.55188,                0.91108,                0.82579,                0.64677,                0.73129,                0.41041,                      0,                    inf,                      0,               0.001884,               0.001884,               0.001884
                     73,                 0.9537,                0.53449,                0.90278,                 0.8074,                0.68932,                0.75054,                0.41723,                      0,                    inf,                      0,               0.001488,               0.001488,               0.001488
                     74,                0.94298,                0.52126,                 0.9047,                0.78381,                0.71043,                0.76345,                0.44168,                      0,                    inf,                      0,               0.001092,               0.001092,               0.001092
